customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total
0002-ORFBO,Não,Female,0,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,One year,Sim,Mailed check,65.6,593.3
0003-MKNFE,Não,Male,0,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Month-to-month,Não,Mailed check,59.9,542.4
0004-TLHLJ,Sim,Male,0,Não,Não,4,Sim,Não,Fiber optic,Não,Não,Sim,Não,Não,Não,Month-to-month,Sim,Electronic check,73.9,280.85
0011-IGKFF,Sim,Male,1,Sim,Não,13,Sim,Não,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Month-to-month,Sim,Electronic check,98.0,1237.85
0013-EXCHZ,Sim,Female,1,Sim,Não,3,Sim,Não,Fiber optic,Não,Não,Não,Sim,Sim,Não,Month-to-month,Sim,Mailed check,83.9,267.4
0013-MHZWF,Não,Female,0,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Month-to-month,Sim,Credit card (automatic),69.4,571.45
0013-SMEOE,Não,Female,1,Sim,Não,71,Sim,Não,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Bank transfer (automatic),109.7,7904.25
0014-BMAQU,Não,Male,0,Sim,Não,63,Sim,Sim,Fiber optic,Sim,Não,Não,Sim,Não,Não,Two year,Sim,Credit card (automatic),84.65,5377.8
0015-UOCOJ,Não,Female,1,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,48.2,340.35
0016-QLJIS,Não,Female,0,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Mailed check,90.45,5957.9
0017-DINOC,Não,Male,0,Não,Não,54,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Two year,Não,Credit card (automatic),45.2,2460.55
0017-IUDMW,Não,Female,0,Sim,Sim,72,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Credit card (automatic),116.8,8456.75
0018-NYROU,Não,Female,0,Sim,Não,5,Sim,Não,Fiber optic,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,68.95,351.5
0019-EFAEP,Não,Female,0,Não,Não,72,Sim,Sim,Fiber optic,Sim,Sim,Sim,Não,Sim,Não,Two year,Sim,Bank transfer (automatic),101.3,7261.25
0019-GFNTW,Não,Female,0,Não,Não,56,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Two year,Não,Bank transfer (automatic),45.05,2560.1
0020-INWCK,Não,Female,0,Sim,Sim,71,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Não,Sim,Two year,Sim,Credit card (automatic),95.75,6849.4
0020-JDNXP,Não,Female,0,Sim,Sim,34,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,One year,Não,Mailed check,61.25,1993.2
0021-IKXGC,Não,Female,1,Não,Não,1,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,72.1,72.1
0022-TCJCI,Sim,Male,1,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,One year,Não,Credit card (automatic),62.7,2791.5
0023-HGHWL,Sim,Male,1,Não,Não,1,Não,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,25.1,25.1
0023-UYUPN,Não,Female,1,Sim,Não,50,Sim,Sim,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Não,Electronic check,25.2,1306.3
0023-XUOPT,Sim,Female,0,Sim,Não,13,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Não,Month-to-month,Não,Electronic check,94.1,1215.6
0027-KWYKW,Não,Female,0,Sim,Sim,23,Sim,Sim,Fiber optic,Não,Não,Não,Não,Sim,Não,Month-to-month,Sim,Electronic check,83.75,1849.95
0030-FNXPP,Não,Female,0,Não,Não,3,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Não,Mailed check,19.85,57.2
0031-PVLZI,Sim,Female,0,Sim,Sim,4,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Não,Mailed check,20.35,76.35
0032-PGELS,Sim,Female,0,Sim,Sim,1,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Month-to-month,Não,Bank transfer (automatic),30.5,30.5
